Starting heating control with interval 5s
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
2025-03-14 21:04:19,914 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:04:24,920 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:04:29,926 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:04:34,928 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:04:39,934 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:04:44,939 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:04:49,944 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:04:54,950 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:04:59,956 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:05:04,962 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:05:09,967 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:05:14,973 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:05:19,980 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:07:24,394 - Starting heating control with interval 5s
2025-03-14 21:07:24,397 - Price: 58, Decision: ES2, Solar: 0, Tank Temp: 0
2025-03-14 21:07:24,399 - Connected to MQTT broker with code 0
2025-03-14 21:07:29,403 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:07:34,410 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:07:39,416 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:07:44,421 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:07:49,427 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:07:54,434 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:07:59,440 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:08:04,445 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:08:09,450 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:08:14,456 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:08:19,458 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:08:24,465 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:08:29,470 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:08:34,472 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:08:39,478 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:08:44,484 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:08:49,490 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:08:54,495 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:08:59,501 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:09:04,507 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:09:09,513 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:09:14,518 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:09:19,521 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:09:24,527 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:09:29,534 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:09:34,540 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:09:39,544 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:09:44,550 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:09:49,555 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:09:54,562 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:09:59,568 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:10:04,574 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:10:09,580 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:10:14,584 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:10:19,589 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:10:24,595 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:10:29,602 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:10:34,608 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:10:39,614 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:10:44,620 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:10:49,625 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:10:54,631 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:10:59,634 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:11:04,639 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:11:09,646 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:11:14,650 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:11:19,656 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:11:24,664 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:11:29,671 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:11:34,675 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:11:39,681 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:11:44,686 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:11:49,692 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:11:54,698 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:11:59,704 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:12:04,710 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:12:09,715 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:12:14,721 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:12:19,727 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:12:24,733 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:12:29,739 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:12:34,745 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:12:39,750 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:12:44,756 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:12:49,763 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:12:54,768 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:12:59,770 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:13:04,777 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:13:09,781 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:13:14,787 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:13:19,792 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:13:24,797 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:13:29,805 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
